Name	PropCovLoci	Poly	Sample	AvCov	SDCov
3_3_10	0.5	0	4293	48.2	33.1
3_3_10	0.5	0	6245	146.1	142.1
3_3_10	0.5	0	6417	79.8	99.0
3_3_10	0.5	0	666	47.6	37.8
3_3_10	0.5	1	1292	23.7	22.9
3_3_10	0.5	1	1382	49.4	52.9
3_3_10	0.5	1	249	53.7	54.1
3_3_10	0.5	1	4043	84.2	88.2
3_3_10	0.5	1	4167	62.4	56.6
3_3_10	0.5	1	4193	58.6	54.6
3_3_10	0.5	1	4293	46.4	37.1
3_3_10	0.5	1	6245	70.3	68.5
3_3_10	0.5	1	6417	63.1	62.2
3_3_10	0.5	1	666	70.6	67.6
3_3_10	0.5	1	759	112.5	118.2
3_3_10	0.5	1	767	95.6	141.1
3_3_10	0.58	0	1292	131.9	0
3_3_10	0.58	0	1382	400.9	0
3_3_10	0.58	0	249	72.2	66.2
3_3_10	0.58	0	4043	78.0	87.7
3_3_10	0.58	0	4193	16.5	0
3_3_10	0.58	0	4293	44.3	56.3
3_3_10	0.58	0	6245	87.9	21.9
3_3_10	0.58	0	6417	30.9	0
3_3_10	0.58	0	666	78.1	18.6
3_3_10	0.58	1	1292	26.5	24.4
3_3_10	0.58	1	1382	55.1	54.2
3_3_10	0.58	1	249	59.2	58.5
3_3_10	0.58	1	4043	93.4	94.0
3_3_10	0.58	1	4167	69.5	60.4
3_3_10	0.58	1	4193	63.7	67.5
3_3_10	0.58	1	4293	49.5	39.5
3_3_10	0.58	1	6245	78.2	72.7
3_3_10	0.58	1	6417	70.7	67.2
3_3_10	0.58	1	666	79.8	74.2
3_3_10	0.58	1	759	115.4	126.7
3_3_10	0.58	1	767	97.9	131.0
3_3_10	0.67	0	1292	245.5	342.9
3_3_10	0.67	0	249	66.8	0
3_3_10	0.67	0	4043	296.3	350.9
3_3_10	0.67	0	4167	133.8	129.3
3_3_10	0.67	0	4193	381.3	0
3_3_10	0.67	0	4293	103.6	108.5
3_3_10	0.67	0	6245	148.2	65.9
3_3_10	0.67	0	6417	140.2	145.3
3_3_10	0.67	0	666	108.7	115.1
3_3_10	0.67	1	1292	27.0	24.3
3_3_10	0.67	1	1382	63.8	60.7
3_3_10	0.67	1	249	64.9	60.7
3_3_10	0.67	1	4043	103.3	97.2
3_3_10	0.67	1	4167	80.7	66.9
3_3_10	0.67	1	4193	64.9	58.7
3_3_10	0.67	1	4293	52.5	41.0
3_3_10	0.67	1	6245	85.4	79.0
3_3_10	0.67	1	6417	78.6	68.0
3_3_10	0.67	1	666	90.0	78.0
3_3_10	0.67	1	759	121.3	123.2
3_3_10	0.67	1	767	100.4	102.3
3_3_10	0.75	1	1292	31.4	28.9
3_3_10	0.75	1	1382	73.4	74.1
3_3_10	0.75	1	249	74.2	66.3
3_3_10	0.75	1	4043	120.1	103.5
3_3_10	0.75	1	4167	93.5	72.5
3_3_10	0.75	1	4193	69.8	67.2
3_3_10	0.75	1	4293	59.6	44.8
3_3_10	0.75	1	6245	98.2	81.5
3_3_10	0.75	1	6417	89.6	73.0
3_3_10	0.75	1	666	103.6	86.5
3_3_10	0.75	1	759	126.0	111.7
3_3_10	0.75	1	767	108.2	107.0
3_3_10	0.83	1	1292	34.2	33.7
3_3_10	0.83	1	1382	85.2	74.9
3_3_10	0.83	1	249	86.2	81.3
3_3_10	0.83	1	4043	133.6	109.7
3_3_10	0.83	1	4167	104.4	86.8
3_3_10	0.83	1	4193	76.4	71.0
3_3_10	0.83	1	4293	66.4	53.0
3_3_10	0.83	1	6245	107.8	89.4
3_3_10	0.83	1	6417	101.5	87.1
3_3_10	0.83	1	666	112.9	94.1
3_3_10	0.83	1	759	135.3	136.6
3_3_10	0.83	1	767	113.8	135.5
3_3_10	0.92	1	1292	35.9	32.1
3_3_10	0.92	1	1382	90.8	78.5
3_3_10	0.92	1	249	87.8	73.5
3_3_10	0.92	1	4043	145.8	127.7
3_3_10	0.92	1	4167	113.8	81.7
3_3_10	0.92	1	4193	89.2	139.0
3_3_10	0.92	1	4293	67.6	48.8
3_3_10	0.92	1	6245	113.5	97.7
3_3_10	0.92	1	6417	106.5	81.2
3_3_10	0.92	1	666	120.2	100.6
3_3_10	0.92	1	759	159.7	153.2
3_3_10	0.92	1	767	139.1	147.5
3_3_10	1.0	1	1292	51.5	158.9
3_3_10	1.0	1	1382	112.3	78.5
3_3_10	1.0	1	249	102.0	85.7
3_3_10	1.0	1	4043	160.9	140.2
3_3_10	1.0	1	4167	130.0	115.8
3_3_10	1.0	1	4193	111.2	246.7
3_3_10	1.0	1	4293	83.8	92.7
3_3_10	1.0	1	6245	129.4	122.0
3_3_10	1.0	1	6417	121.9	88.1
3_3_10	1.0	1	666	146.3	131.4
3_3_10	1.0	1	759	181.3	141.9
3_3_10	1.0	1	767	170.1	152.0
3_6_6	0.08	0	1292	17.6	17.0
3_6_6	0.08	0	1382	35.4	37.6
3_6_6	0.08	0	249	24.4	32.0
3_6_6	0.08	0	4043	35.3	51.8
3_6_6	0.08	0	4167	37.4	38.4
3_6_6	0.08	0	4193	41.3	38.5
3_6_6	0.08	0	4293	34.3	27.4
3_6_6	0.08	0	6245	38.8	50.1
3_6_6	0.08	0	6417	39.0	46.2
3_6_6	0.08	0	666	33.3	41.7
3_6_6	0.08	0	759	82.2	88.3
3_6_6	0.08	0	767	72.6	75.4
3_6_6	0.08	1	1292	36.6	22.4
3_6_6	0.08	1	1382	70.9	50.7
3_6_6	0.08	1	249	32.1	31.2
3_6_6	0.08	1	4043	79.6	81.2
3_6_6	0.08	1	4167	77.8	65.9
3_6_6	0.08	1	4193	72.8	44.8
3_6_6	0.08	1	4293	65.4	42.9
3_6_6	0.08	1	6245	44.7	49.3
3_6_6	0.08	1	6417	50.9	55.5
3_6_6	0.08	1	666	42.8	50.5
3_6_6	0.08	1	759	133.0	103.4
3_6_6	0.08	1	767	111.3	80.7
3_6_6	0.17	0	1292	19.4	18.3
3_6_6	0.17	0	1382	39.0	52.2
3_6_6	0.17	0	249	35.3	39.1
3_6_6	0.17	0	4043	59.2	70.2
3_6_6	0.17	0	4167	47.2	46.2
3_6_6	0.17	0	4193	45.3	45.8
3_6_6	0.17	0	4293	36.6	29.5
3_6_6	0.17	0	6245	46.5	60.8
3_6_6	0.17	0	6417	50.6	51.6
3_6_6	0.17	0	666	45.4	49.1
3_6_6	0.17	0	759	111.4	98.8
3_6_6	0.17	0	767	99.4	95.4
3_6_6	0.17	1	1292	20.5	21.5
3_6_6	0.17	1	1382	41.2	42.8
3_6_6	0.17	1	249	31.9	36.5
3_6_6	0.17	1	4043	60.4	71.2
3_6_6	0.17	1	4167	40.9	43.6
3_6_6	0.17	1	4193	48.4	44.7
3_6_6	0.17	1	4293	37.7	30.7
3_6_6	0.17	1	6245	44.6	55.2
3_6_6	0.17	1	6417	45.0	50.0
3_6_6	0.17	1	666	41.1	48.2
3_6_6	0.17	1	759	110.5	92.8
3_6_6	0.17	1	767	97.5	81.5
3_6_6	0.25	0	1292	16.8	16.9
3_6_6	0.25	0	1382	35.1	35.4
3_6_6	0.25	0	249	42.5	43.1
3_6_6	0.25	0	4043	45.8	51.9
3_6_6	0.25	0	4167	49.4	50.4
3_6_6	0.25	0	4193	56.8	54.6
3_6_6	0.25	0	4293	50.1	39.1
3_6_6	0.25	0	6245	33.9	35.3
3_6_6	0.25	0	6417	48.9	54.4
3_6_6	0.25	0	666	56.4	54.9
3_6_6	0.25	0	759	57.5	112.2
3_6_6	0.25	0	767	151.6	210.2
3_6_6	0.25	1	1292	21.4	21.9
3_6_6	0.25	1	1382	43.9	46.2
3_6_6	0.25	1	249	38.5	42.8
3_6_6	0.25	1	4043	67.3	77.3
3_6_6	0.25	1	4167	44.5	47.2
3_6_6	0.25	1	4193	50.7	48.6
3_6_6	0.25	1	4293	39.6	30.7
3_6_6	0.25	1	6245	50.5	58.7
3_6_6	0.25	1	6417	50.7	53.6
3_6_6	0.25	1	666	49.0	54.6
3_6_6	0.25	1	759	106.0	100.5
3_6_6	0.25	1	767	92.2	85.7
