Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
7_3_12	0.08	89842	5966	0.07	1.8	1.6	0.00832	0.00728	1.0	0.0	147079	60091	0.41	10.3	9.1	0.04498	0.03896	0.16372	0.29844
7_10_10	1.0	262	262	1.0	26.1	10.1	0.11156	0.04335	0.06246	0.03341	262	262	1.0	26.1	10.1	0.11156	0.04335	0.06246	0.03341
7_10_10	0.92	515	515	1.0	27.8	10.6	0.11828	0.04395	0.06218	0.03856	777	777	1.0	27.3	10.4	0.11601	0.04384	0.06227	0.03688
7_10_10	0.83	1043	1042	1.0	25.3	10.0	0.10792	0.04239	0.07377	0.05319	1820	1819	1.0	26.1	10.2	0.11138	0.04319	0.06886	0.04726
7_10_10	0.75	1467	1465	1.0	24.0	10.0	0.10271	0.04293	0.07813	0.05458	3287	3284	1.0	25.2	10.2	0.10751	0.04328	0.07299	0.05086
7_10_10	0.67	1903	1902	1.0	22.1	9.3	0.09465	0.0398	0.07844	0.05487	5190	5186	1.0	24.1	9.9	0.10279	0.04249	0.07499	0.05242
7_10_10	0.58	2438	2437	1.0	20.0	8.6	0.08573	0.03702	0.0785	0.06055	7628	7623	1.0	22.8	9.7	0.09734	0.04159	0.07611	0.05517
7_10_10	0.5	3231	3223	1.0	17.4	8.0	0.07503	0.03452	0.0813	0.06784	10859	10846	1.0	21.2	9.6	0.09071	0.04091	0.07765	0.05927
7_10_10	0.42	4203	4187	1.0	14.8	7.5	0.06372	0.03244	0.07946	0.07493	15062	15033	1.0	19.4	9.5	0.08319	0.04058	0.07816	0.06402
7_10_10	0.33	5967	5922	0.99	12.0	6.8	0.05192	0.02973	0.08098	0.09369	21029	20955	1.0	17.3	9.4	0.07436	0.04037	0.07895	0.07364
7_10_10	0.25	9599	9357	0.97	9.0	5.8	0.03948	0.02516	0.08128	0.11548	30628	30312	0.99	14.7	9.3	0.06359	0.03977	0.07967	0.08869
7_10_10	0.17	23723	20879	0.88	5.4	4.2	0.02415	0.0185	0.08458	0.16264	54351	51191	0.94	10.9	8.9	0.0475	0.0381	0.08168	0.1243
7_10_10	0.08	91946	6818	0.07	2.3	2.4	0.01047	0.01114	1.0	0.0	146297	58009	0.4	9.9	8.8	0.04315	0.03792	0.18961	0.31797
7_12_10	1.0	267	267	1.0	26.0	10.5	0.11098	0.04491	0.0609	0.03444	267	267	1.0	26.0	10.5	0.11098	0.04491	0.0609	0.03444
7_12_10	0.92	494	494	1.0	27.7	10.3	0.11767	0.04307	0.06229	0.03905	761	761	1.0	27.1	10.4	0.11533	0.04381	0.0618	0.03748
7_12_10	0.83	1029	1026	1.0	25.2	9.9	0.10731	0.04228	0.0743	0.04619	1790	1787	1.0	26.0	10.1	0.11072	0.04311	0.06898	0.04313
