Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
7_10_12	1.0	91	91	1.0	15.3	4.6	0.06604	0.02024	0.05641	0.0328	91	91	1.0	15.3	4.6	0.06604	0.02024	0.05641	0.0328
7_10_12	0.92	141	141	1.0	15.8	4.1	0.06827	0.018	0.06248	0.05176	232	232	1.0	15.6	4.3	0.06739	0.0189	0.0601	0.04529
7_10_12	0.83	392	391	1.0	15.3	4.3	0.0656	0.01891	0.07497	0.0547	624	623	1.0	15.4	4.3	0.06627	0.01891	0.06943	0.05187
7_10_12	0.75	603	602	1.0	14.8	4.7	0.06344	0.02062	0.08372	0.06949	1227	1225	1.0	15.1	4.5	0.06488	0.01981	0.07645	0.06156
7_10_12	0.67	912	911	1.0	14.6	4.7	0.06274	0.02071	0.08244	0.06191	2139	2136	1.0	14.9	4.6	0.06397	0.02022	0.07901	0.06176
7_10_12	0.58	1400	1398	1.0	14.1	4.8	0.0608	0.02086	0.08163	0.06417	3539	3534	1.0	14.6	4.7	0.06271	0.02053	0.08004	0.06273
7_10_12	0.5	2192	2185	1.0	13.4	4.9	0.05788	0.02122	0.08197	0.07009	5731	5719	1.0	14.2	4.8	0.06087	0.02092	0.08078	0.06564
7_10_12	0.42	3397	3384	1.0	12.3	5.2	0.05293	0.0225	0.07831	0.07602	9128	9103	1.0	13.5	5.0	0.05792	0.02186	0.07986	0.06969
7_10_12	0.33	5345	5300	0.99	10.7	5.3	0.04626	0.02325	0.0801	0.09241	14473	14403	1.0	12.4	5.3	0.05363	0.02308	0.07995	0.07881
7_10_12	0.25	9155	8924	0.97	8.7	5.1	0.0379	0.02235	0.07889	0.11526	23628	23327	0.99	11.0	5.5	0.04761	0.02405	0.07955	0.09443
7_10_12	0.17	23184	20379	0.88	5.5	4.1	0.0245	0.01842	0.0842	0.16202	46812	43706	0.93	8.4	5.6	0.03684	0.02449	0.08172	0.1304
7_10_12	0.08	89162	6560	0.07	2.3	2.3	0.0103	0.0108	1.0	0.0	135974	50266	0.37	7.6	5.7	0.03337	0.02483	0.20156	0.33238
7_3_12	1.0	105	105	1.0	16.6	4.2	0.07088	0.01837	0.05708	0.03289	105	105	1.0	16.6	4.2	0.07088	0.01837	0.05708	0.03289
7_3_12	0.92	163	163	1.0	16.3	4.5	0.07047	0.01915	0.05816	0.0425	268	268	1.0	16.4	4.4	0.07063	0.01881	0.05774	0.03896
7_3_12	0.83	432	432	1.0	16.1	4.4	0.0691	0.01939	0.07354	0.05112	700	700	1.0	16.2	4.4	0.06969	0.01917	0.06749	0.04743
7_3_12	0.75	705	704	1.0	15.8	4.7	0.06791	0.02051	0.0749	0.04637	1405	1404	1.0	16.0	4.6	0.06879	0.01987	0.07121	0.04703
7_3_12	0.67	1077	1075	1.0	15.3	4.9	0.06556	0.02134	0.0763	0.05809	2482	2479	1.0	15.7	4.7	0.06739	0.02058	0.07342	0.05217
7_3_12	0.58	1665	1664	1.0	14.6	5.1	0.06288	0.02189	0.07449	0.05993	4147	4143	1.0	15.3	4.9	0.06558	0.02123	0.07385	0.05541
7_3_12	0.5	2597	2590	1.0	14.0	5.1	0.0603	0.02233	0.07507	0.06598	6744	6733	1.0	14.8	5.0	0.06355	0.02181	0.07432	0.0597
7_3_12	0.42	3924	3911	1.0	12.6	5.4	0.05448	0.02365	0.07008	0.07166	10668	10644	1.0	14.0	5.3	0.06022	0.02292	0.07276	0.06438
7_3_12	0.33	6029	5984	0.99	10.9	5.4	0.04737	0.02386	0.06966	0.08629	16697	16628	1.0	12.9	5.5	0.05559	0.02406	0.07165	0.07304
7_3_12	0.25	10020	9788	0.98	8.7	5.2	0.03822	0.02275	0.06918	0.10755	26717	26416	0.99	11.3	5.8	0.04916	0.02503	0.07073	0.08744
