Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdenisty	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdenisty
5_2_2	0.17	33789	26866	0.8	3.3	2.5	0.01463	0.01097	73998	65744	0.89	5.9	4.9	0.02558	0.02086
5_2_2	0.08	188279	11061	0.06	1.7	1.4	0.0077	0.00634	262277	76805	0.29	5.3	4.8	0.02301	0.02043
3_15_1	1.0	179	179	1.0	16.5	8.0	0.07058	0.0343	179	179	1.0	16.5	8.0	0.07058	0.0343
3_15_1	0.92	409	409	1.0	15.4	7.1	0.06539	0.03012	588	588	1.0	15.7	7.4	0.06697	0.03151
3_15_1	0.83	697	697	1.0	15.5	7.1	0.06599	0.02978	1285	1285	1.0	15.6	7.2	0.06644	0.03058
3_15_1	0.75	970	970	1.0	14.4	7.0	0.06109	0.02944	2255	2255	1.0	15.1	7.2	0.06414	0.0302
3_15_1	0.67	1407	1403	1.0	13.6	6.7	0.05797	0.02842	3662	3658	1.0	14.5	7.0	0.06177	0.02968
3_15_1	0.58	1962	1959	1.0	12.3	6.4	0.05236	0.02743	5624	5617	1.0	13.7	6.9	0.05849	0.02926
3_15_1	0.5	2748	2733	0.99	10.6	6.4	0.04542	0.02743	8372	8350	1.0	12.7	6.9	0.05421	0.02932
3_15_1	0.42	4141	4076	0.98	9.0	5.9	0.03844	0.02514	12513	12426	0.99	11.5	6.8	0.04904	0.02898
3_15_1	0.33	6556	6346	0.97	7.0	5.1	0.03035	0.0219	19069	18772	0.98	10.0	6.6	0.04272	0.02822
3_15_1	0.25	12057	11052	0.92	5.3	4.4	0.02325	0.01908	31126	29824	0.96	8.3	6.3	0.0355	0.02691
3_15_1	0.17	29964	22490	0.75	3.6	3.4	0.01593	0.01514	61090	52314	0.86	6.3	5.8	0.02709	0.02461
3_15_1	0.08	222099	18591	0.08	3.4	3.6	0.01532	0.01666	283189	70905	0.25	5.5	5.4	0.024	0.02337
7_2_2	1.0	291	291	1.0	15.7	6.8	0.06674	0.02903	291	291	1.0	15.7	6.8	0.06674	0.02903
7_2_2	0.92	571	571	1.0	15.8	6.7	0.0666	0.02769	862	862	1.0	15.7	6.7	0.06665	0.02813
7_2_2	0.83	854	854	1.0	14.7	6.0	0.0622	0.02509	1716	1716	1.0	15.2	6.4	0.06444	0.02675
7_2_2	0.75	1209	1209	1.0	13.9	6.0	0.05882	0.02505	2925	2925	1.0	14.7	6.2	0.06212	0.0262
7_2_2	0.67	1686	1685	1.0	12.3	5.7	0.05248	0.02397	4611	4610	1.0	13.8	6.1	0.05859	0.02582
7_2_2	0.58	2386	2379	1.0	11.1	5.4	0.04727	0.02278	6997	6989	1.0	12.9	6.0	0.05474	0.0254
7_2_2	0.5	3439	3423	1.0	9.6	5.0	0.04087	0.02143	10436	10412	1.0	11.8	5.9	0.05018	0.02503
7_2_2	0.42	4964	4916	0.99	8.2	4.6	0.03519	0.01992	15400	15328	1.0	10.6	5.8	0.04537	0.02453
7_2_2	0.33	7989	7769	0.97	6.7	4.1	0.02874	0.01764	23389	23097	0.99	9.3	5.6	0.03978	0.02379
7_2_2	0.25	13968	13033	0.93	5.0	3.4	0.02179	0.01485	37357	36130	0.97	7.8	5.4	0.03329	0.02271
7_2_2	0.17	31580	25176	0.8	3.4	2.6	0.0148	0.01108	68937	61306	0.89	5.9	4.9	0.02569	0.02091
7_2_2	0.08	172674	11320	0.07	1.8	1.5	0.00788	0.00662	241611	72626	0.3	5.3	4.8	0.02292	0.02044
5_3_2	1.0	324	323	1.0	16.4	6.8	0.06956	0.02948	324	323	1.0	16.4	6.8	0.06956	0.02948
5_3_2	0.92	641	641	1.0	16.5	6.8	0.07002	0.02822	965	964	1.0	16.4	6.8	0.06987	0.02864
