Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdenisty	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdenisty
5_3_2	0.58	3673	3592	0.98	8.0	5.0	0.03442	0.02133	13878	13732	0.99	9.6	5.5	0.04112	0.0232
5_3_2	0.5	4834	4669	0.97	6.9	4.5	0.02956	0.01942	18712	18401	0.98	8.9	5.4	0.03819	0.02286
5_3_2	0.42	6743	6240	0.93	5.9	4.1	0.02533	0.01773	25455	24641	0.97	8.2	5.3	0.03493	0.02239
5_3_2	0.33	10123	8670	0.86	4.9	3.6	0.02129	0.0156	35578	33311	0.94	7.3	5.1	0.03138	0.02168
5_3_2	0.25	16860	12743	0.76	3.9	3.0	0.01725	0.01315	52438	46054	0.88	6.4	4.9	0.02747	0.02068
5_3_2	0.17	33145	19793	0.6	2.8	2.4	0.01293	0.01044	85583	65847	0.77	5.3	4.6	0.0231	0.0194
5_3_2	0.08	131152	5945	0.05	1.7	1.6	0.00789	0.00759	216735	71792	0.33	5.0	4.5	0.02184	0.01917
3_6_2	1.0	1385	1385	1.0	13.4	6.4	0.05664	0.0266	1385	1385	1.0	13.4	6.4	0.05664	0.0266
3_6_2	0.92	1990	1988	1.0	12.8	6.3	0.05442	0.02703	3375	3373	1.0	13.0	6.3	0.05533	0.02687
3_6_2	0.83	2311	2305	1.0	12.4	6.3	0.0528	0.0268	5686	5678	1.0	12.8	6.3	0.0543	0.02687
3_6_2	0.75	2593	2581	1.0	10.9	5.9	0.04682	0.02515	8279	8259	1.0	12.2	6.2	0.05196	0.02657
3_6_2	0.67	2947	2922	0.99	10.0	5.8	0.04286	0.02486	11226	11181	1.0	11.6	6.2	0.04959	0.02644
3_6_2	0.58	3630	3567	0.98	8.9	5.6	0.038	0.02381	14856	14748	0.99	11.0	6.2	0.04679	0.0263
3_6_2	0.5	4648	4497	0.97	7.8	5.3	0.0335	0.02278	19504	19245	0.99	10.2	6.1	0.04368	0.02613
3_6_2	0.42	6336	5876	0.93	6.5	4.7	0.02809	0.02026	25840	25121	0.97	9.3	6.0	0.04004	0.02574
3_6_2	0.33	9433	8094	0.86	5.3	4.1	0.02323	0.01793	35273	33215	0.94	8.4	5.9	0.03594	0.02513
3_6_2	0.25	15882	12045	0.76	4.1	3.4	0.01853	0.01471	51155	45260	0.88	7.2	5.7	0.03131	0.02409
3_6_2	0.17	31337	18621	0.59	3.0	2.6	0.01373	0.01171	82492	63881	0.77	6.0	5.3	0.02618	0.02269
3_6_2	0.08	132014	6049	0.05	2.2	2.4	0.01056	0.01166	214506	69930	0.33	5.7	5.3	0.02483	0.02239
7_1_2	1.0	1182	1180	1.0	10.6	5.4	0.04505	0.0222	1182	1180	1.0	10.6	5.4	0.04505	0.0222
7_1_2	0.92	1549	1546	1.0	10.4	5.2	0.04412	0.02178	2731	2726	1.0	10.5	5.3	0.04452	0.02197
7_1_2	0.83	1852	1844	1.0	9.7	5.2	0.04125	0.02175	4583	4570	1.0	10.2	5.3	0.0432	0.02194
7_1_2	0.75	2320	2296	0.99	9.0	5.1	0.03829	0.02177	6903	6866	0.99	9.8	5.3	0.04156	0.022
7_1_2	0.67	2738	2704	0.99	8.2	4.9	0.03483	0.0205	9641	9570	0.99	9.3	5.2	0.03966	0.0218
7_1_2	0.58	3804	3724	0.98	7.5	4.8	0.03218	0.02017	13445	13294	0.99	8.8	5.1	0.03756	0.02162
7_1_2	0.5	5031	4827	0.96	6.5	4.3	0.02807	0.01833	18476	18121	0.98	8.2	5.0	0.03503	0.02121
7_1_2	0.42	7252	6705	0.92	5.7	4.0	0.0245	0.01721	25728	24826	0.96	7.5	4.9	0.03219	0.02074
7_1_2	0.33	10989	9403	0.86	4.7	3.5	0.02048	0.01511	36717	34229	0.93	6.8	4.7	0.02897	0.02005
7_1_2	0.25	17878	13577	0.76	3.8	2.9	0.01663	0.0126	54595	47806	0.88	5.9	4.5	0.02547	0.01908
7_1_2	0.17	34436	20579	0.6	2.8	2.3	0.01261	0.00998	89031	68385	0.77	5.0	4.2	0.0216	0.01787
7_1_2	0.08	128402	5422	0.04	1.3	1.2	0.00626	0.00564	217433	73807	0.34	4.7	4.2	0.02047	0.01772
5_10_1	1.0	1055	1055	1.0	12.8	6.5	0.05415	0.0275	1055	1055	1.0	12.8	6.5	0.05415	0.0275
5_10_1	0.92	1421	1415	1.0	12.6	6.4	0.05341	0.02718	2476	2470	1.0	12.7	6.5	0.05372	0.02732
5_10_1	0.83	1646	1643	1.0	12.1	6.5	0.05173	0.02743	4122	4113	1.0	12.4	6.5	0.05293	0.02737
5_10_1	0.75	1826	1814	0.99	11.0	6.4	0.04693	0.02744	5948	5927	1.0	12.0	6.5	0.05109	0.02753
5_10_1	0.67	2153	2131	0.99	10.0	6.0	0.04279	0.02567	8101	8058	0.99	11.5	6.4	0.0489	0.0273
5_10_1	0.58	2850	2781	0.98	9.1	5.9	0.03921	0.02552	10951	10839	0.99	10.9	6.4	0.04641	0.02718
5_10_1	0.5	3639	3519	0.97	7.8	5.7	0.03333	0.02409	14590	14358	0.98	10.1	6.4	0.04321	0.02705
5_10_1	0.42	5267	4853	0.92	6.7	5.2	0.02906	0.02245	19857	19211	0.97	9.3	6.3	0.03963	0.02668
5_10_1	0.33	8061	6835	0.85	5.6	4.6	0.02415	0.01992	27918	26046	0.93	8.3	6.1	0.03557	0.02599
5_10_1	0.25	13899	10250	0.74	4.4	3.9	0.01931	0.01721	41817	36296	0.87	7.2	5.8	0.03098	0.02494
