Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_10_20	0.08	114341	6327	0.06	2.1	2.2	0.00985	0.0111	1.0	0.0	178424	66744	0.37	10.7	9.5	0.0468	0.04086	0.16064	0.29423
3_6_15	1.0	290	290	1.0	28.2	11.4	0.11975	0.04796	0.05863	0.03075	290	290	1.0	28.2	11.4	0.11975	0.04796	0.05863	0.03075
3_6_15	0.92	636	636	1.0	29.5	10.7	0.12517	0.04528	0.0592	0.03505	926	926	1.0	29.1	10.9	0.12347	0.04618	0.05902	0.03375
3_6_15	0.83	1322	1322	1.0	26.7	10.4	0.11331	0.04423	0.06712	0.04298	2248	2248	1.0	27.7	10.7	0.1175	0.04531	0.06379	0.03963
3_6_15	0.75	1912	1912	1.0	24.6	10.0	0.10449	0.04286	0.07137	0.0448	4160	4160	1.0	26.3	10.5	0.11152	0.04467	0.06727	0.04225
3_6_15	0.67	2618	2617	1.0	22.7	9.7	0.09712	0.04176	0.07062	0.05135	6778	6777	1.0	24.9	10.3	0.10596	0.04412	0.06856	0.04601
3_6_15	0.58	3309	3308	1.0	20.6	9.0	0.08801	0.03846	0.06948	0.05535	10087	10085	1.0	23.5	10.1	0.10007	0.04318	0.06886	0.04926
3_6_15	0.5	4133	4130	1.0	18.1	8.8	0.07783	0.03792	0.0697	0.06185	14220	14215	1.0	21.9	10.0	0.09361	0.04292	0.06911	0.05323
3_6_15	0.42	5238	5221	1.0	15.2	7.8	0.0655	0.03396	0.06789	0.07045	19458	19436	1.0	20.1	10.0	0.08606	0.04257	0.06878	0.05836
3_6_15	0.33	7174	7118	0.99	12.4	7.2	0.05405	0.03139	0.06598	0.08505	26632	26554	1.0	18.1	9.9	0.07748	0.04233	0.06803	0.06658
3_6_15	0.25	11577	11282	0.97	9.3	6.1	0.04108	0.02705	0.06807	0.10791	38209	37836	0.99	15.5	9.8	0.06662	0.04187	0.06804	0.08114
3_6_15	0.17	27746	24440	0.88	5.6	4.4	0.02536	0.02016	0.07196	0.15492	65955	62276	0.94	11.6	9.4	0.05043	0.04038	0.06958	0.11585
3_6_15	0.08	114764	6120	0.05	2.0	1.9	0.00903	0.00886	1.0	0.0	180719	68396	0.38	10.7	9.4	0.04672	0.04039	0.15283	0.28767
3_12_12	1.0	285	285	1.0	27.2	10.9	0.11662	0.04688	0.06135	0.03838	285	285	1.0	27.2	10.9	0.11662	0.04688	0.06135	0.03838
3_12_12	0.92	595	595	1.0	28.0	10.3	0.11874	0.04317	0.05871	0.03425	880	880	1.0	27.8	10.5	0.11805	0.04439	0.05957	0.03564
