Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_6_3	0.42	1400	1379	0.98	5.0	1.7	0.0217	0.0075	0.08108	0.0851	2577	2547	0.99	5.1	1.7	0.02211	0.00731	0.08691	0.08469
3_6_3	0.33	3211	3126	0.97	4.6	1.8	0.01994	0.00805	0.08287	0.1019	5788	5673	0.98	4.8	1.8	0.02091	0.0078	0.08469	0.09457
3_6_3	0.25	8273	7823	0.95	4.0	1.9	0.01773	0.00843	0.08527	0.12599	14061	13496	0.96	4.4	1.9	0.01907	0.00832	0.08502	0.11384
3_6_3	0.17	31324	26107	0.83	3.1	1.8	0.01364	0.00792	0.09076	0.17574	45385	39603	0.87	3.5	1.9	0.01549	0.00846	0.0888	0.15743
3_6_3	0.08	181254	10718	0.06	1.9	1.5	0.00876	0.00715	1.0	0.0	226639	50321	0.22	3.2	1.9	0.01406	0.00865	0.28288	0.39835
3_15_3	1.0	3	3	1.0	6.3	0.6	0.02754	0.00251	0.08082	0.01932	3	3	1.0	6.3	0.6	0.02754	0.00251	0.08082	0.01932
3_15_3	0.92	5	5	1.0	4.2	2.2	0.01876	0.00858	0.09228	0.0111	8	8	1.0	5.0	2.0	0.02205	0.00803	0.08799	0.01457
3_15_3	0.83	36	36	1.0	5.0	1.6	0.02176	0.00874	0.09612	0.12067	44	44	1.0	5.0	1.7	0.02182	0.00853	0.09464	0.10907
3_15_3	0.75	56	56	1.0	5.5	1.7	0.0237	0.00746	0.09569	0.09662	100	100	1.0	5.3	1.7	0.02287	0.00796	0.09523	0.10176
3_15_3	0.67	130	130	1.0	5.2	1.8	0.02262	0.00816	0.10706	0.09827	230	230	1.0	5.2	1.7	0.02273	0.00806	0.10191	0.09975
3_15_3	0.58	250	246	0.98	5.3	1.6	0.02315	0.00757	0.0924	0.0828	480	476	0.99	5.3	1.7	0.02295	0.0078	0.09699	0.09141
3_15_3	0.5	569	559	0.98	5.2	1.6	0.02215	0.00694	0.09445	0.09725	1049	1035	0.99	5.2	1.6	0.02252	0.00736	0.09562	0.09458
3_15_3	0.42	1262	1237	0.98	5.0	1.7	0.02176	0.00769	0.08259	0.08428	2311	2272	0.98	5.1	1.7	0.0221	0.00755	0.08852	0.08934
