Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_5_15	1.0	105	105	1.0	16.3	4.5	0.07023	0.01998	0.05644	0.03586	105	105	1.0	16.3	4.5	0.07023	0.01998	0.05644	0.03586
3_5_15	0.92	180	180	1.0	17.0	4.0	0.07316	0.01753	0.05863	0.03755	285	285	1.0	16.8	4.2	0.07208	0.01849	0.05783	0.03689
3_5_15	0.83	474	474	1.0	15.9	4.5	0.0681	0.01943	0.07195	0.05067	759	759	1.0	16.2	4.4	0.0696	0.01917	0.06665	0.04646
3_5_15	0.75	846	846	1.0	15.8	4.7	0.06724	0.02039	0.07612	0.04724	1605	1605	1.0	16.0	4.5	0.06835	0.01985	0.07164	0.0471
3_5_15	0.67	1381	1381	1.0	15.3	4.9	0.06514	0.02121	0.07391	0.05326	2986	2986	1.0	15.7	4.7	0.06687	0.02055	0.07269	0.05005
3_5_15	0.58	2027	2027	1.0	14.9	4.9	0.06405	0.02134	0.07169	0.05746	5013	5013	1.0	15.4	4.8	0.06573	0.02091	0.07229	0.05317
3_5_15	0.5	2992	2989	1.0	13.6	5.2	0.05854	0.02255	0.07181	0.06387	8005	8002	1.0	14.7	5.0	0.06304	0.02182	0.07211	0.05739
3_5_15	0.42	4385	4369	1.0	12.6	5.4	0.0543	0.02339	0.06733	0.07111	12390	12371	1.0	14.0	5.3	0.05996	0.02277	0.07042	0.06262
3_5_15	0.33	6644	6588	0.99	11.0	5.5	0.04802	0.0244	0.06521	0.08401	19034	18959	1.0	12.9	5.5	0.05581	0.02403	0.06861	0.07083
3_5_15	0.25	11359	11071	0.97	8.7	5.3	0.03855	0.02333	0.06635	0.10639	30393	30030	0.99	11.4	5.8	0.04944	0.02519	0.06778	0.08568
3_5_15	0.17	27712	24403	0.88	5.5	4.2	0.02498	0.01927	0.07103	0.15419	58105	54433	0.94	8.8	5.9	0.03848	0.02578	0.06924	0.12129
3_5_15	0.08	114569	6011	0.05	1.9	1.8	0.00876	0.00831	1.0	0.0	172674	60444	0.35	8.1	6.0	0.03552	0.02616	0.1618	0.30139
3_6_20	1.0	103	103	1.0	16.2	4.5	0.06978	0.01979	0.0566	0.03446	103	103	1.0	16.2	4.5	0.06978	0.01979	0.0566	0.03446
3_6_20	0.92	178	178	1.0	17.3	3.8	0.07415	0.01647	0.05748	0.03534	281	281	1.0	16.9	4.1	0.07255	0.01785	0.05715	0.03496
3_6_20	0.83	466	466	1.0	16.1	4.4	0.06856	0.01911	0.07169	0.04799	747	747	1.0	16.4	4.3	0.07006	0.01874	0.06622	0.04409
3_6_20	0.75	841	841	1.0	15.7	4.7	0.06684	0.02059	0.07689	0.04924	1588	1588	1.0	16.0	4.5	0.06836	0.0198	0.07187	0.04718
3_6_20	0.67	1347	1346	1.0	15.3	4.9	0.06516	0.02118	0.07494	0.05672	2935	2934	1.0	15.7	4.7	0.06689	0.0205	0.07328	0.05179
